,Func_ES_groupping  = ESs grouped according to size of impariment in adults as follows,,,,,,,,,,,,,PKU GROUP,,,,,,CONTROL GROUP,,,,ES,,,,,,,PKU group ,,,CONTROLS,,,,,,
286,Children,Verbal memory and learning,Verbal memory and learning,ES_medium,Anderson et al 2002/2007,2008,Word-list learning,,,RVDLT–total,,,,28.3,8.617,33,,,,34.1,8.746,34,,,,-1,-0.66,,1,,11.18,3.4,,10.3,3.1,,,,,
287,Children,Verbal memory and learning,Verbal memory and learning,ES_medium,Griffiths 1995,1995,Word-list learning,,,"Rey Verbal Learning. Total Recall of orally presented t5-word list, repeated five times ",,,,42.4,10.09,10,348,,,43,7.65,10,,,,-1,-0.08,,1,,7.53,-,,7.59,-,,median age 15 days (range 12-20),,,
428,Adults,Visual STM/WM,Visual STM/WM,ES_medium,Christ et al 2023,2023,Picture Sequence,,,T-score,"Participants are shown a sequence of pictures. Following the presentation of the final image, all stimuli are randomly mixed. The participant must then place the images to match the initial presentation order. Picture vary in numbers for 6-15 depending on age",NIH Toolbox Cognitive Battery,,54,11.5,40,589,444,,58,11.8,32,NA,,,-1,-0.34,,1,,NA,,,,,,,,,
288,Mixed-age,Verbal memory and learning,Verbal memory and learning,ES_medium,Griffiths 1995,1995,Word-list learning,,,"Rey Verbal Learning. Total Recall of orally presented t5-word list, repeated five times ",,,,46.7,8.08,10,1014,216,,55.1,7.4,10,,,,-1,-1.09,,1,,20.6,3.8,13.6-28.42,,,,,,,
289,Children,Verbal memory and learning,Verbal memory and learning,ES_medium,Antshel & Waisbren 2003,2003,Word-list learning,,,CVLT - Trial 5,,,,40.3,9.2,46,490,375,,49.6,11.1,18,,,,-1,-0.83,,1,,10.75,2.1,,13.1,3.2,,,,,
290,Children,Verbal memory and learning,Verbal memory and learning,ES_medium,Bisiacchi et al 2018,2018,Word-list learning,,,Delayed recall z score,,,,-0.8,0.8,11,743,84,,0.6,0.67,28,,,,-1,-0.77,,1,,13,2.5,,11.8,2.5,,,,,
291,Children,Verbal memory and learning,Verbal memory and learning,ES_medium,Bisiacchi et al 2018,2018,Word-list learning,,,Immediate recall z score,,,,-0.9,1,11,743,84,,0,0.77,28,,,,-1,-0.88,,1,,13,2.5,,11.8,2.5,,,,,
292,Children,Verbal memory and learning,Verbal memory and learning,ES_medium,Smith et al 2000,1999,Word-list learning,,,Delayed recall total words across 3 trials,,,,16.7,3.98,19,777,200,,20.7,3.65,19,,,,-1,-1.07,,1,,9.4,2.9,,9.3,2.9,,,,,
293,Children,Verbal memory and learning,Verbal memory and learning,ES_medium,Smith et al 2000,2000,Word-list learning,,,Immediate recall total words across 3 trials,recall 12 unrelated words,,,4.9,2.51,19,777,200,,6.1,2.48,19,,,,-1,-0.45,,1,,9.4,2.9,,9.3,2.9,,,,,
294,Children,Verbal memory and learning,Verbal memory and learning,ES_medium,Antshel & Waisbren 2003,2003,Word-list learning,,,CVLT -Semantic Cluster Ratio,,,,39.9,7.4,46,490,375,,51.4,10.4,18,,,,-1,-1.09,,0,,10.75,2.1,,13.1,3.2,,,,,
295,Children,Verbal memory and learning,Verbal memory and learning,ES_medium,Gassio et al 2005,2005,Word-list learning,,,Children Auditory Verbal learning test - 5th trial,,,,57,9,26,489,181,,60,11,21,,,,-1,-0.27,,1,,12.3,3.7,,11.8,3.6,,,,,
296,Children,Verbal memory and learning,Verbal memory and learning,ES_medium,Gassio et al 2005,2005,Word-list learning,,,Delayed recall,,,,61,10,26,489,181,,62,8,21,,,,-1,-0.12,,1,,12.3,3.7,,11.8,3.6,,,,,
297,Children,Verbal memory and learning,Verbal memory and learning,ES_medium,White et al 2001,2001,Word-list learning,,,CVLT -Trial 1 (words correct),,,,6.5,2,23,496,230,,6.9,1.46,23,,,,-1,-0.24,,0,,10.7,3.4,,11.1,3.7,,,,,
298,Children,Verbal memory and learning,Verbal memory and learning,ES_medium,White et al 2001,2001,Word-list learning,,,CVLT -Trial 1 semantic cluster ratio,,,,0.3,0.15,23,496,230,,0.3,0.19,23,,,,-1,0.05,,0,,10.7,3.4,,11.1,3.7,,,,,
299,Children,Verbal memory and learning,Verbal memory and learning,ES_medium,White et al 2001,2001,Word-list learning,,,CVLT -List B (words correct),,,,5.9,1.98,23,496,230,,6,2.4,23,,,,-1,-0.05,,0,,10.7,3.4,,11.1,3.7,,,,,
300,Children,Verbal memory and learning,Verbal memory and learning,ES_medium,White et al 2001,2001,Word-list learning,,,CVLT - Trial 5 (words correct),,,,10.3,3.56,23,496,230,,11.4,3.17,23,,,,-1,-0.33,,1,,10.7,3.4,,11.1,3.7,,,,,
301,Children,Verbal memory and learning,Verbal memory and learning,ES_medium,White et al 2001,2001,Word-list learning,,,CVLT -Trial 5 semantic cluster ratio,,,,0.3,0.2,23,496,230,,0.4,0.21,23,,,,-1,-0.47,,1,,10.7,3.4,,11.1,3.7,,,,,
302,Children,Verbal memory and learning,Verbal memory and learning,ES_medium,White et al 2001,2001,Word-list learning,,,CVLT -Short-delay free recall (words correct),,,,9.4,2.69,23,496,230,,10.4,3.39,23,,,,-1,-0.28,,1,,10.7,3.4,,11.1,3.7,,,,,
303,Children,Verbal memory and learning,Verbal memory and learning,ES_medium,White et al 2001,2001,Word-list learning,,,CVLT -Long-delay free recall (words correct),,,,9.9,2.44,23,496,230,,10.4,2.94,23,,,,-1,-0.19,,1,,10.7,3.4,,11.1,3.7,,,,,
304,Children,Verbal memory and learning ,Verbal memory and learning ,ES_medium,Gassio et al 2005,2005,Word-list learning,,,Children Auditory Verbal learning test -1st trial,,,,49,10,26,489,181,,53,9,21,,,,-1,-0.44,,0,,12.3,3.7,,11.8,3.6,,,,,
307,Adults,Verbal STM/WM,Verbal STM/WM,ES_medium,Aitkenhead et al 2021,2021,Digit span-forward,,,z score,,,,-0.3,1,153,908,,,0,1,76,,0.33,,-1,-0.33,1,1,,,,,,,1,,--,,
308,Adults,Verbal STM/WM,Verbal STM/WM,ES_medium,Luna at al 2023,2023,Digit span-forward,,,,,Subtests from WAIS-IV Spanish version,,7.6,2.37,20,586,420,,10.3,2.64,20,NA,0.47,,-1,-1,,0,,NA,,,,,,,,,
309,Adults,Verbal STM/WM,Verbal STM/WM,ES_medium,Palermo et al 2017/2018,2017,Digit span-forward,,,Digit span-forward,,,,6.1,1,37,720,,,6.5,0.9,30,,0.42,,-1,-0.44,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
310,Adults,Verbal STM/WM,Verbal STM/WM,ES_medium,Pilotto et al 2021,2021,Digit span-forward,,,Digit span-forward,,,,14,3.2,19,890,,,19,2.36,25,,1.78,,-1,-2.08,,1,,,,,,,2,,cont treat,,
311,Adults,Verbal STM/WM,Verbal STM/WM,ES_medium,Romani et al 2020,2020,Digit span-forward,,,Digit span-forward,,,,5.9,0.9,19,1042,,,5.9,1.1,19,,0,,-1,0,,1,,,,,,,1,Since birth,-,Soon after birth,
312,Children,Verbal STM/WM,Verbal STM/WM,ES_medium,Anderson et al 2002/2007,2008,Digit span-forward,,,Digit span-forward,,,,5.3,1.149,33,,,,5.6,1.166,34,,,,-1,-0.2,,1,,11.18,3.4,,10.3,3.1,,,,,
313,Children,Verbal STM/WM,Verbal STM/WM,ES_medium,Bisiacchi et al 2018,2018,Digit span-forward,,,Digit span-forward,,,,5.4,0.5,11,743,84,,5.9,0.8,28,,,,-1,-0.61,,1,,13,2.5,,11.8,2.5,,,,,
314,Children,Verbal STM/WM,Verbal STM/WM,ES_medium,Griffiths 1998,1998,Digit span-forward,,,Digit span-forward,,,,18.5,4.7,11,388,127,,20.9,4.64,11,,,,-1,-0.51,,1,,8.83,1.7,,8.8,1.7,,,,,
315,Adults,Verbal STM/WM,Verbal STM/WM,ES_medium,Luna at al 2023,2023,Digit span–backwards,,,Score,""" Note: raw scores are shown """,,"Don't think this is raw score(span),looks high, but can't find out how this score was calculated",7.9,2.35,20,586,420,,9.2,1.95,20,NA,0.28,,-1,-0.65,,0,,NA,,,,,,,,,
316,Adults,Verbal STM/WM,Verbal STM/WM,ES_medium,Aitkenhead et al 2021,2021,Digit span–backwards,,,z score,,,,-0.5,0.83,153,908,,,0,1,76,,0.33,,-1,-0.47,0.83,1,,,,,,,1,,--,,
317,Children,Verbal STM/WM,Verbal STM/WM,ES_medium,Anderson et al 2002/2007,2008,Digit span–backwards,,,Digit span–backwards,,,,3.3,1.149,33,,,,3.9,1.166,34,,,,-1,-0.52,,1,,11.18,3.4,,10.3,3.1,,,,,
318,Children,Verbal STM/WM,Verbal STM/WM,ES_medium,Bisiacchi et al 2018,2018,Digit span–backwards,,,Digit span–backwards,,,,3.5,0.5,11,743,84,,4.3,0.8,28,,,,-1,-0.98,,1,,13,2.5,,11.8,2.5,,,,,
319,Adults,Verbal STM/WM,Verbal STM/WM,ES_medium,Christ et al 2023,2023,List sorting,,,T-score,Participants are visually and orally presented with a series of picture stimuli and asked to recall the stimuli in size order from smallest to biggest. Participants are exposed to both a one-list condition and a two-list condition where items from one semantic category must be repeated in size order before items from the second semantic category.,NIH Toolbox Cognitive Battery,,45,10.3,40,589,444,,53,7.8,32,NA,0.88,,-1,-1.01,,1,,NA,,,,,,,,,
320,Adults,Verbal STM/WM,Verbal STM/WM,ES_medium,Abgottspon et al 2022,2022,N-back task,accuracy,accuracy,3 back - correct,,,,81.4,6.3,20,702,,,87.4,7.9,40,,0.84,,-1,-0.75,,1,,,,,,,1,,,,
321,Adults,Verbal STM/WM,Verbal STM/WM,ES_medium,Abgottspon et al 2022,2022,N-back task,speed,speed,3 back - speed ,,,,816,306.5,20,702,,,771.6,282.4,40,,-0.15,,1,-0.16,,1,,,,,,,1,,,,
322,Adults,Verbal STM/WM,Verbal STM/WM,ES_medium,Channon et al 2005,2005,N-back task,,,"Combined 0 back, 1 back, 2 back task - % correct  -on diet",,,,95.2,3.46,25,759,,,94.6,3.7,25,,-0.16,,-1,0.15,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
323,Adults,Verbal STM/WM,Verbal STM/WM,ES_medium,Channon et al 2007 off diet,2007,N-back task,accuracy,accuracy,"Combined 0 back, 1 back, 2 back task -  % correct - off diet",,,,92.4,4.99,25,1286,,,93.9,4.86,45,,0.29,,-1,-0.3,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
324,Adults,Verbal STM/WM,Verbal STM/WM,ES_medium,Channon et al 2007 off diet,2007,N-back task,speed,speed,"Combined 0 back, 1 back, 2 back task - Speed per item -off diet",,,,0.8,0.68,25,1286,,,0.6,0.26,45,,-0.41,,1,-0.8,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
325,Adults,Verbal STM/WM,Verbal STM/WM,ES_medium,Muri et al 2022,2023,N-back task,,,Test of Attentional Performance (TAP),Raw scores,Accuracy in % correct,cant find N??,94.5,7,30,741,IQR=358,,98,3,54,54,0.41,,-1,-1.16,,1,,NA,,,,,,,,,
326,Adults,Verbal STM/WM,Verbal STM/WM,ES_medium,Muri et al 2022,2023,N-back task,,,Test of Attentional Performance (TAP),Residuals (use?),higher = better,*Residuals are the error terms after regressing out the confounding variable AGE,-2.4,7,30,741,IQR=358,,0.8,3.2,54,54,0.4,,-1,-0.99,,1,,NA,,,,,,,,,
327,Children,Verbal STM/WM,Verbal STM/WM,ES_medium,Griffiths 1998,1998,N-back task,accuracy,accuracy,2 back - accuracy,,,,64.6,7.54,11,388,127,,63.2,16.9,11,,,,-1,0.08,,1,,8.83,1.7,,8.8,1.7,,,,,
328,Children,Verbal STM/WM,Verbal STM/WM,ES_medium,Griffiths 1998,1998,N-back task,speed,speed,2 back -RT,,,,509,72,11,388,127,,481,14,11,,,,1,-1.91,,1,,8.83,1.7,,8.8,1.7,,,,,
329,Children,Verbal STM/WM,Verbal STM/WM,ES_medium,Griffiths 1998,1998,N-back task,accuracy,accuracy,One back ,,,,72.2,7.17,11,388,127,,69.7,10.5,11,,,,-1,0.23,,1,,8.83,1.7,,8.8,1.7,,,,,
330,Children,Verbal STM/WM,Verbal STM/WM,ES_medium,Griffiths 1998,1998,N-back task,speed,speed,One back ,,,,499,81,11,388,127,,462,92,11,,,,1,-0.39,,1,,8.83,1.7,,8.8,1.7,,,,,
331,Adults,Verbal STM/WM,Verbal STM/WM,ES_medium,Palermo et al 2017/2018,2017,Nonword repetition ,,,Nonword repetition - % Errors,,,,48.2,12.5,37,720,,,39.3,10.4,30,,-0.77,,1,-0.85,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
332,Children,Verbal STM/WM,Verbal STM/WM,ES_medium,Weglage et al 1995,1995,stardized From WISC-R,,,,,,,10.2,2.2,20,583,377,,11,2.8,20,,,,-1,-0.28,,1,,10.9,1.3,,11,1.1,,,,,
333,Children,Verbal STM/WM,Verbal STM/WM,ES_medium,Trimarco et al 2020,2020,WM index ,,,,,,From NespyII,94,14.25,15,289,83,,103,12.75,14,,,,-1,-0.66,,1,,,,,,,,,,,
334,Adults,Verbal STM/WM,Verbal STM/WM,ES_medium,Moyle et al 2007,2007,WMS-III Auditory Immediate Memory,,,Auditory Immediate Memory score (WMS III),,,,106,5.4,12,-,,,105,5.2,12,,-0.19,,-1,0.19,,1,,,,,,,1,Since birth,"cont treat, but off  diet",Soon after birth,
336,Adults,Higher Language Skills,Higher Language Skills,,De Felice et al 2018,2018,Appreciation of Humour,accuracy,accuracy,Appreciation of Humour Test -  N Errors,,,,2,1.3,22,751,,,2.2,1.6,25,,0.14,,1,0.12,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
337,Adults,Higher Language Skills,Higher Language Skills,,De Felice et al 2018,2018,Appreciation of Humour,speed,speed,Appreciation of Humour Test - Time (sec.),,,,91.6,44,22,751,,,76.9,23,25,,-0.42,,1,-0.63,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
338,Adults,Higher Language Skills,Higher Language Skills,,De Felice et al 2018,2018,Conflicting Prosody,,,Conflicting Prosody - N Errors,,,,1.1,1.2,22,751,,,1.4,1.9,25,,0.19,,1,0.16,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
339,Adults,Higher Language Skills,Higher Language Skills,,De Felice et al 2018,2018,Conflicting Prosody,,,Emotional Prosody - N Errors,,,,0.6,1.1,22,751,,,0.3,0.5,25,,-0.35,,1,-0.59,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
340,Adults,Higher Language Skills,Higher Language Skills,,De Felice et al 2018,2018,Inferred meaning-N err,accuracy,accuracy,Comprehension of Inferred meaning Test -  N Errors,,,,1.3,1.2,22,751,,,1.2,1.2,25,,-0.08,,1,-0.08,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
341,Adults,Higher Language Skills,Higher Language Skills,,De Felice et al 2018,2018,Inferred meaning-Time ,speed,speed,Comprehension of Inferred meaning Test - Time (sec.),,,,157.9,54.6,22,751,,,119.2,40,25,,-0.81,,1,-0.95,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
342,Adults,Higher Language Skills,Higher Language Skills,,De Felice et al 2018,2018,Metaphor Picture-N err,accuracy,accuracy,Metaphor Picture Test - N Errors,,,,1.1,1.7,22,751,,,2.3,3.1,25,,0.48,,1,0.38,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
343,Adults,Higher Language Skills,Higher Language Skills,,De Felice et al 2018,2018,Metaphor Picture-Time,speed,speed,Metaphor Picture Test - Total time (sec.),,,,58.9,34.3,22,751,,,41,13,25,,-0.69,,1,-1.35,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
344,Adults,Higher Language Skills,Higher Language Skills,,De Felice et al 2018,2018,Non Emotional Prosody-N err,,,Non Emotional Prosody - N Errors,,,,0.2,0.5,22,751,,,0.4,0.8,25,,0.3,,1,0.25,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
345,Adults,Higher Language Skills,Higher Language Skills,,De Felice et al 2018,2018,Verbal Narrative-% cor info units ,,,Verbal Narrative - Correct information units (% of total words),,,,87.7,7.8,33,751,,,91.7,4.6,32,,0.62,,-1,-0.86,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
346,Adults,Higher Language Skills,Higher Language Skills,,De Felice et al 2018,2018,Verbal Narrative-Main concepts-% cor,,,Verbal Narrative - Main concepts - %  correct answers ,,,,81.1,21.2,33,751,,,86.7,10.9,32,,0.33,,-1,-0.51,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
347,Adults,Higher Language Skills,Higher Language Skills,,De Felice et al 2018,2018,Verbal Narrative-Mean utterance length,,,Verbal Narrative - Mean utterance length,,,,13.2,2.5,33,751,,,14.2,3,32,,0.36,,-1,-0.33,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
348,Adults,Higher Language Skills,Higher Language Skills,,De Felice et al 2018,2018,Verbal Narrative-Speech rate,,,Verbal Narrative - Speech Rate,,,,2.2,0.4,33,751,,,2.4,0.4,32,,0.5,,-1,-0.49,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
349,Adults,Higher Language Skills,Higher Language Skills,,Palermo et al 2017/2018,2017,WASI Similarities-N cor,,,WASI Similarities - N correct,,,,36,5.8,37,720,,,39.2,3.6,30,,0.66,,-1,-0.88,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
350,Adults,Higher Language Skills,Higher Language Skills,,Palermo et al 2017/2018,2017,WASI Vocabulary-N cor,,,WASI Vocabulary - N correct,,,,58.4,8.7,37,720,,,64.2,7.2,30,,0.73,,-1,-0.8,,1,-0.414,,,,,,1,Since birth,cont treat,Soon after birth,
351,Adults,Higher Language Skills,Higher Language Skills,,Luna at al 2023,2023,Similarities ,,,Subtest from WAIS-IV Spanish version,,,,20.8,5.23,20,586,420,,24,5.72,20,NA,,,-1,-0.55,,0,,NA,,,,,,,,,
352,Adults,Higher Language Skills,Higher Language Skills,,Luna at al 2023,2023,Vocabulary,,,Subtest from WAIS-IV Spanish version,,,,33.7,10.63,20,586,420,,37.8,7.55,20,NA,,,-1,-0.54,,0,,NA,,,,,,,,,
355,Children,Language accuracy,Language accuracy,ES_small,Banich et al 2000,2000,Peabody Picture Vocabulary Test,,,,,,,113.6,11.85,9,855,,,115.5,16.07,12,,,,-1,-0.11,,1,,10.58,2.76,,10.7,2.2,,Early treated,,,
356,Children,Language accuracy,Language accuracy,ES_small,Bisiacchi et al 2018,2018, Naming,,,max score =10,,,,9.4,1,11,743,84,,9.4,0.7,28,,,,-1,0,,1,,13,2.5,,11.8,2.5,,,,,
357,Adults,Language accuracy,Language accuracy,ES_small,De Felice et al 2018,2018,Block Cyclic Naming,accuracy,accuracy,Block Cyclic Naming - ,overall errors,,,12.8,9.5,15,751,,,10.7,7.1,24,,-0.25,,1,-0.29,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
358,Adults,Language accuracy,Language accuracy,ES_small,De Felice et al 2018,2018,Verbal Narrative-% err,,,Verbal Narrative - %  Error/ total words,,,,2.1,1.4,33,751,,,1.8,1.7,32,,-0.19,,1,-0.17,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
359,Children,Language accuracy,Language accuracy,ES_small,Griffiths 1998,1998,Picture Vocabulary Scale,,,,,,,104.6,14.62,11,388,127,,101.5,15.4,11,,,,-1,0.2,,1,,8.83,1.7,,8.8,1.7,,,,,
360,Adults,Language accuracy,Language accuracy,ES_small,Luna at al 2023,2023,Comprehension,,,Subtest from WAIS-IV Spanish version,,,,22.5,5.54,20,586,420,,25,4.38,20,NA,,,-1,-0.55,,0,,NA,,,,,,,,,
361,Adults,Language accuracy,Language accuracy,ES_small,Luna at al 2023,2023,Information,,,Subtest from WAIS-IV Spanish version,,,,10.9,5.82,20,586,420,,12.3,4.54,20,NA,,,-1,-0.3,,0,,NA,,,,,,,,,
362,Adults,Language accuracy,Language accuracy,ES_small,Palermo et al 2017/2018,2017,Continuous Naming,accuracy,accuracy,Continulus Picture Naming - Overall % Errors,,,,8.5,11,30,720,,,7.1,5.1,30,,-0.16,,1,-0.27,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
363,Adults,Language accuracy,Language accuracy,ES_small,Palermo et al 2017/2018,2017,Colour Naming,accuracy,accuracy,Colour Naming - % Errors,,,,0.1,0.2,37,720,,,0.1,0.2,30,,0,,1,0,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
364,Adults,Language accuracy,Language accuracy,ES_small,Palermo et al 2017/2018,2017,Non-word reading-accuracy,accuracy,accuracy,Non-word reading - % Errors,,,,7.9,10.8,37,720,,,5.8,5.7,30,,-0.24,,1,-0.36,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
365,Adults,Language accuracy,Language accuracy,ES_small,Palermo et al 2017/2018,2017,Non-Word Spelling-accuracy,,,Non - Word Spelling - % Errors,,,,13.3,8.2,37,720,,,11.9,7.6,30,,-0.18,,1,-0.18,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
366,Adults,Language accuracy,Language accuracy,ES_small,Palermo et al 2017/2018,2017,Word reading-Accuracy,accuracy,accuracy,Word Reading - % Errors,,,,0.7,1,37,720,,,0.6,0.8,30,,-0.11,,1,-0.12,,1,-0.4,,,,,,1,Since birth,cont treat,Soon after birth,
367,Adults,Language accuracy,Language accuracy,ES_small,Palermo et al 2017/2018,2017,Word Spelling-% err,,,Word Spelling - % Errors,,,,3.9,4.7,37,720,,,4.8,5.7,30,,0.17,,1,0.16,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
368,Adults,Language accuracy,Language accuracy,ES_small,Pilotto et al 2021,2021, Naming-accuracy,,,Boston Naming,,,,15,0.8,19,890,,,15,0.8,25,,0,,-1,0,,1,,,,,,,2,,,,
369,Adults,Language accuracy,Language accuracy,ES_small,Pilotto et al 2021,2021,Baxt ideomotor apraxia,,,,,,,33,4.8,19,890,,,35,1.57,25,,0.56,,-1,-1.25,,1,,,,,,,2,,,,
370,Adults,Language accuracy,Language accuracy,ES_small,Pilotto et al 2021,2021,Token test,,,,,,,36,0.01,19,890,,,36,0.01,25,,0,,-1,0,,1,,,,,,,2,,,,
373,Adults,Language speed,Language speed,ES_small,De Felice et al 2018,2018,Block Cyclic Naming,speed,speed,Block cyclic naming -  RT (ms),overall RT,,,704.5,147.3,15,751,,,679,143.1,24,,-0.18,,1,-0.17,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
374,Adults,Language speed,Language speed,ES_small,Palermo et al 2017/2018,2017,Colour Naming,speed,speed,Colour Naming - RT (ms),,,,731,141.8,37,720,,,617,98.2,30,,-0.93,,1,-1.15,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
375,Adults,Language speed,Language speed,ES_small,Palermo et al 2017/2018,2017,Continuous Naming,speed,speed,Continuous Picture Naming - overall RT (ms),,,,897,138.9,37,720,,,835,175.1,30,,-0.39,,1,-0.35,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
376,Adults,Language speed,Language speed,ES_small,Palermo et al 2017/2018,2017,Non-word reading-RT,speed,speed,Non-word reading - RT (ms),,,,795,296.7,37,720,,,604,103.6,30,,-0.86,,1,-1.82,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
379,Children,Language speed,Language speed,ES_small,Christ et al 2006,2006,Stroop-neutral-accuracy,accuracy,accuracy,Errors,,,,1.1,2,26,424,339,,1,1.6,25,,,,1,-0.06,,1,,11.2,3.1,,11.3,3.4,,,,,
380,Children,Language speed,Language speed,ES_small,Weglage et al 1996/1999,1996,Stroop-baseline-speed,speed,,CWIT Colour naming speed ,,Stroop Color and Word Test,,83.5,16.7,20,583,377,,62.1,12.1,20,,,,1,-1.73,,1,,10.9,1.3,,11,1.1,,,,,
381,Children,Language speed,Language speed,ES_small,Weglage et al 1996/1999,1999,Stroop-neutral-speed,speed,,CWIT Colour naming Speed (older group 14+),time 2 Weglage 1999; time 1 is Weglage 1996,Stroop Color and Word Test,,67.4,11.2,20,744,456,,56.6,8.2,20,,,,1,-1.29,,1,,13.9,1.3,,14,1.1,,,,,
382,Children,Language speed,Language speed,ES_small,Christ et al 2006,2006,Stroop-neutral-speed,speed,speed,speed,,,,811,173,26,424,339,,817,207,25,,,,1,0.03,,1,,11.2,3.1,,11.3,3.4,,,,,
383,Children,Language speed,Language speed,ES_small,Gassio et al 2005,2005,Stroop-neutral-speed,speed,,T score-color naming,,,,40,9,26,489,181,,45,6,21,,,,-1,-0.82,,1,,12.3,3.7,,11.8,3.6,,,,,
384,Children,Language speed,Language speed,ES_small,White et al 2001,2001,Stroop-neutral -word reading,,,CWIT  stim correct in 45 sec,,Stroop Color and Word Test,,64.7,19.81,23,496,230,,81,22.62,23,,,,-1,-0.71,,1,,10.7,3.4,,11.1,3.7,,,,,
386,Children,Language speed,Language speed,ES_small,Weglage et al 1996/1999,1996,Stroop-reading-speed,speed,,CWIT Colour reading speed ,,Stroop Color and Word Test,,48.2,10.6,20,583,377,,38.4,7.1,20,,,,1,-1.35,,1,,10.9,1.3,,11,1.1,,,,,
387,Children,Language speed,Language speed,ES_small,Weglage et al 1996/1999,1999,Stroop-reading-speed,speed,,CWIT Colour reading Speed (older group 14+),sec,Stroop Color and Word Test,,41.1,10.3,20,744,456,,34,4.3,20,,,,1,-1.62,,1,,13.9,1.3,,14,1.1,,,,,
388,Children,Language speed,Language speed,ES_small,Gassio et al 2005,2005,Stroop-reading-speed,speed,,T score -colour reading,,,,45,8,26,489,181,,50,6,21,,,,-1,-0.82,,1,,12.3,3.7,,11.8,3.6,,,,,
389,Children,Language speed,Language speed,ES_small,White et al 2001,2001,Stroop-neutral - colour naiming ,,,CWIT  stim correct in 45 sec,,Stroop Color and Word Test,,90.2,27.02,23,496,230,,107.5,30.92,23,,,,-1,-0.55,,1,-0.56,10.7,3.4,,11.1,3.7,,,,,
390,Adults,Language speed,Language speed,ES_small,Palermo et al 2017/2018,2017,Word Reading-RT,speed,speed,Word Reading - RT (ms),,,,574,120,37,720,,,507,93.3,30,,-0.62,,1,-0.71,,1,-0.53,,,,,,1,Since birth,cont treat,Soon after birth,
392,Adults,Phonological Tasks,Phonological Tasks,,Palermo et al 2017/2018,2017,Phoneme Deletion-% err,,,Phoneme Deletion - % Errors,,,,14.5,13.1,37,720,,,11.2,8.7,30,,-0.3,,1,-0.37,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
393,Adults,Phonological Tasks,Phonological Tasks,,Palermo et al 2017/2018,2017,Spoonerisms-% err,accuracy,accuracy,Spoonerisms  - % Errors,,,,10.9,14.7,37,720,,,6.8,6.6,30,,-0.36,,1,-0.61,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
395,Mixed-age,Visual learning LTM,Visual learning LTM,ES_medium,Luciana et al 2001,2001,Delayed matching to sample,,,Pattern condition,% correct,Delayed mattching to sample a number of geometric patterns are presented; then the ppts has to decide which of two patterns was presented before,,0.9,0.11,18,NA,,,0.9,0.1,16,,,,-1,-0.29,,1,,17.88,2.74,,16.32,2.92,,,,,
396,Mixed-age,Visual learning LTM,Visual learning LTM,ES_medium,Luciana et al 2001,2001,Delayed matching to sample,,,Spatial condition,% correct,Point to the location (out of 5) where a given stimulus was presetned ,,0.7,0.16,18,NA,,,0.8,0.16,16,,,,-1,-0.31,,1,,17.88,2.74,,16.32,2.92,,,,,
397,Adults,Visual learning LTM,Visual learning LTM,ES_medium,Palermo et al 2017/2018,2017,P-ass VisL % err,,,,,,,14.1,8.5,37,720,,,10.5,8.3,30,,-0.43,,1,-0.43,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
398,Adults,Visual learning LTM,Visual learning LTM,ES_medium,Romani et al 2020,2020,P-ass VisL % err,,,,,,,2.3,2.2,19,1042,,,1.2,1.3,19,,-0.61,,1,-0.83,,1,,,,,,,1,Since birth,-,Soon after birth,
